START,END,UTC,READABLE_START,READABLE_END,UT_ALL,LC_ALL,UT_SIG,UT_NONSIG,LC_SIG,LC_NONSIG,UT_WORK,UT_SOCIAL,UT_INFO,UT_ENTER,UT_SYSTEM,UT_HEALTH,LC_WORK,LC_SOCIAL,LC_INFO,LC_ENTER,LC_SYSTEM,LC_HEALTH,DUT_STILL,DUT_WALKING,DUT_RUNNING,DUT_IN_VEHICLE,DUT_ON_BICYCLE,DUT_HOME,DUT_WORK,DUT_OTHERS,DUT_MOVE,DUT_SEDENTARY
1556600400000.0,1556601300000.0,UTC+0900,2019-04-30 14:00:00,2019-04-30 14:15:00,387467.0,11,387465.0,2.0,10,1,2,42.0,0.0,0.0,387423.0,0.0,1,3,0,0,7,0,900000.0,0.0,0,0.0,0.0,0.0,0.0,900000.0,0,900000.0
1556601300000.0,1556602200000.0,UTC+0900,2019-04-30 14:15:00,2019-04-30 14:30:00,57775.0,2,57775.0,0.0,2,0,0,16.0,0.0,0.0,57759.0,0.0,0,1,0,0,1,0,900000.0,0.0,0,0.0,0.0,0.0,0.0,900000.0,0,900000.0
1556602200000.0,1556603100000.0,UTC+0900,2019-04-30 14:30:00,2019-04-30 14:45:00,3380.0,2,3380.0,0.0,2,0,0,1679.0,0.0,0.0,1701.0,0.0,0,1,0,0,1,0,900000.0,0.0,0,0.0,0.0,0.0,0.0,776496.0,0,900000.0
1556603100000.0,1556604000000.0,UTC+0900,2019-04-30 14:45:00,2019-04-30 15:00:00,152006.0,37,69822.0,82184.0,30,7,0,37124.0,0.0,70593.0,32698.0,11591.0,0,22,0,3,8,4,381547.0,91395.0,0,0.0,427058.0,0.0,0.0,0.0,0,381547.0
1556604000000.0,1556604900000.0,UTC+0900,2019-04-30 15:00:00,2019-04-30 15:15:00,442060.0,6,38415.0,403645.0,4,2,0,0.0,0.0,403645.0,38415.0,0.0,0,0,0,2,4,0,0.0,0.0,0,40381.0,859619.0,0.0,0.0,0.0,0,40381.0
1556604900000.0,1556605800000.0,UTC+0900,2019-04-30 15:15:00,2019-04-30 15:30:00,47886.0,3,3778.0,44108.0,1,2,0,0.0,0.0,44108.0,3778.0,0.0,0,0,0,2,1,0,0.0,0.0,0,106130.0,793870.0,0.0,0.0,0.0,0,106130.0
1556605800000.0,1556606700000.0,UTC+0900,2019-04-30 15:30:00,2019-04-30 15:45:00,41244.0,25,25488.0,15756.0,16,9,1420,0.0,0.0,2971.0,25802.0,11051.0,2,0,0,1,17,5,359655.0,290650.0,0,0.0,249695.0,0.0,0.0,0.0,0,359655.0
1556606700000.0,1556607600000.0,UTC+0900,2019-04-30 15:45:00,2019-04-30 16:00:00,12823.0,5,2962.0,9861.0,3,2,0,0.0,0.0,0.0,12823.0,0.0,0,0,0,0,5,0,900000.0,0.0,0,0.0,0.0,759302.0,0.0,0.0,0,900000.0
1556607600000.0,1556608500000.0,UTC+0900,2019-04-30 16:00:00,2019-04-30 16:15:00,549833.0,10,419624.0,130209.0,7,3,0,0.0,0.0,0.0,424008.0,125825.0,0,0,0,0,8,2,900000.0,0.0,0,0.0,0.0,900000.0,0.0,0.0,0,900000.0
1556608500000.0,1556609400000.0,UTC+0900,2019-04-30 16:15:00,2019-04-30 16:30:00,497636.0,1,0.0,497636.0,0,1,0,0.0,0.0,0.0,0.0,497636.0,0,0,0,0,0,1,900000.0,0.0,0,0.0,0.0,877634.0,0.0,0.0,0,900000.0
