START,END,UTC,READABLE_START,READABLE_END,UT_ALL,LC_ALL,UT_SIG,UT_NONSIG,LC_SIG,LC_NONSIG,UT_WORK,UT_SOCIAL,UT_INFO,UT_ENTER,UT_SYSTEM,UT_HEALTH,LC_WORK,LC_SOCIAL,LC_INFO,LC_ENTER,LC_SYSTEM,LC_HEALTH,DUT_STILL,DUT_WALKING,DUT_RUNNING,DUT_IN_VEHICLE,DUT_ON_BICYCLE,DUT_HOME,DUT_WORK,DUT_OTHERS,DUT_MOVE,DUT_SEDENTARY
1679454000000,1679454900000,UTC+0900,2023-03-22 12:00:00,2023-03-22 12:15:00,294456,37,232032,62424,33,4,0,96586,62424,80664,54782,0,0,22,4,4,7,0,566996,238539,0,94465,0,0.0,0.0,573201.0,0,661461
1679454900000,1679455800000,UTC+0900,2023-03-22 12:15:00,2023-03-22 12:30:00,646672,6,602176,44496,4,2,0,0,0,639403,7269,0,0,0,0,3,3,0,597279,206361,0,96360,0,0.0,0.0,580571.0,0,693639
1679455800000,1679456700000,UTC+0900,2023-03-22 12:30:00,2023-03-22 12:45:00,30962,7,30962,0,7,0,2719,0,0,0,28243,0,3,0,0,0,4,0,505171,278584,0,116245,0,0.0,0.0,500564.0,0,621416
1679456700000,1679457600000,UTC+0900,2023-03-22 12:45:00,2023-03-22 13:00:00,190900,38,175178,15722,32,6,15722,128143,0,0,47035,0,6,28,0,0,4,0,900000,0,0,0,0,0.0,0.0,900000.0,0,900000
1679457600000,1679458500000,UTC+0900,2023-03-22 13:00:00,2023-03-22 13:15:00,56493,20,42667,13826,14,6,17889,15265,0,0,23339,0,11,4,0,0,5,0,900000,0,0,0,0,0.0,0.0,900000.0,0,900000
1679458500000,1679459400000,UTC+0900,2023-03-22 13:15:00,2023-03-22 13:30:00,18045,5,18045,0,5,0,0,18045,0,0,0,0,0,5,0,0,0,0,900000,0,0,0,0,0.0,0.0,900000.0,0,900000
1679459400000,1679460300000,UTC+0900,2023-03-22 13:30:00,2023-03-22 13:45:00,153957,26,99353,54604,24,2,28645,64097,54604,0,6611,0,2,18,2,0,4,0,830540,69460,0,0,0,0.0,0.0,900000.0,0,830540
1679460300000,1679461200000,UTC+0900,2023-03-22 13:45:00,2023-03-22 14:00:00,136162,31,136162,0,31,0,0,90786,0,0,45376,0,0,24,0,0,7,0,900000,0,0,0,0,0.0,0.0,900000.0,0,900000
1679461200000,1679462100000,UTC+0900,2023-03-22 14:00:00,2023-03-22 14:15:00,91444,31,91444,0,31,0,0,69989,0,0,21455,0,0,23,0,0,8,0,900000,0,0,0,0,0.0,0.0,900000.0,0,900000
1679462100000,1679463000000,UTC+0900,2023-03-22 14:15:00,2023-03-22 14:30:00,110429,15,110429,0,15,0,10952,81390,0,0,18087,0,3,6,0,0,6,0,238191,424466,0,0,237343,0.0,0.0,299318.0,0,238191
1679463000000,1679463900000,UTC+0900,2023-03-22 14:30:00,2023-03-22 14:45:00,847748,26,847748,0,26,0,0,82161,0,761445,4142,0,0,20,0,3,3,0,110878,134501,0,654621,0,0.0,0.0,900000.0,0,765499
1679463900000,1679464800000,UTC+0900,2023-03-22 14:45:00,2023-03-22 15:00:00,140690,1,140690,0,1,0,0,0,0,140690,0,0,0,0,0,1,0,0,900000,0,0,0,0,0.0,0.0,868217.0,0,900000
1679464800000,1679465700000,UTC+0900,2023-03-22 15:00:00,2023-03-22 15:15:00,344552,17,297984,46568,13,4,0,10389,0,331645,2518,0,0,6,0,8,3,0,900000,0,0,0,0,0.0,0.0,857969.0,0,900000
1679465700000,1679466600000,UTC+0900,2023-03-22 15:15:00,2023-03-22 15:30:00,51416,9,4790,46626,1,8,32594,0,0,12673,6149,0,5,0,0,2,2,0,900000,0,0,0,0,0.0,0.0,900000.0,0,900000
1679466600000,1679467500000,UTC+0900,2023-03-22 15:30:00,2023-03-22 15:45:00,179047,16,74667,104380,14,2,118219,34911,0,0,25917,0,5,6,0,0,5,0,775005,124995,0,0,0,0.0,0.0,280029.0,0,775005
1679467500000,1679468400000,UTC+0900,2023-03-22 15:45:00,2023-03-22 16:00:00,15533,5,15533,0,5,0,0,5245,0,0,10288,0,0,2,0,0,3,0,316571,170471,0,412958,0,0.0,0.0,622353.0,0,729529
1679468400000,1679469300000,UTC+0900,2023-03-22 16:00:00,2023-03-22 16:15:00,197499,22,53335,144164,13,9,122319,5173,0,0,70007,0,10,4,0,0,8,0,0,0,0,900000,0,0.0,0.0,900000.0,0,900000
1679469300000,1679470200000,UTC+0900,2023-03-22 16:15:00,2023-03-22 16:30:00,257698,66,211428,46270,55,11,93686,115174,0,0,48838,0,14,40,0,0,12,0,590287,0,0,309713,0,0.0,0.0,30618.0,0,900000
1679470200000,1679471100000,UTC+0900,2023-03-22 16:30:00,2023-03-22 16:45:00,266768,55,266768,0,55,0,39625,170528,0,0,56615,0,5,35,0,0,15,0,900000,0,0,0,0,0.0,0.0,0.0,0,900000
1679471100000,1679472000000,UTC+0900,2023-03-22 16:45:00,2023-03-22 17:00:00,6058,6,6058,0,6,0,0,2541,0,0,3517,0,0,4,0,0,2,0,850545,49455,0,0,0,0.0,0.0,0.0,0,850545
1679472000000,1679472900000,UTC+0900,2023-03-22 17:00:00,2023-03-22 17:15:00,70677,8,70677,0,8,0,36770,0,0,0,33907,0,2,0,0,0,6,0,494266,405734,0,0,0,0.0,0.0,0.0,0,494266
1679472900000,1679473800000,UTC+0900,2023-03-22 17:15:00,2023-03-22 17:30:00,46223,12,46223,0,12,0,20718,6078,0,0,19427,0,6,5,0,0,1,0,900000,0,0,0,0,0.0,0.0,204888.0,0,900000
1679473800000,1679474700000,UTC+0900,2023-03-22 17:30:00,2023-03-22 17:45:00,334326,44,334326,0,44,0,0,293895,0,0,40431,0,0,35,0,0,9,0,900000,0,0,0,0,0.0,0.0,900000.0,0,900000
1679474700000,1679475600000,UTC+0900,2023-03-22 17:45:00,2023-03-22 18:00:00,112260,28,112260,0,28,0,5324,99793,0,0,7143,0,3,20,0,0,5,0,900000,0,0,0,0,0.0,0.0,334616.0,0,900000
1679475600000,1679476500000,UTC+0900,2023-03-22 18:00:00,2023-03-22 18:15:00,18001,6,18001,0,6,0,0,18001,0,0,0,0,0,6,0,0,0,0,900000,0,0,0,0,0.0,0.0,823073.0,0,900000
1679476500000,1679477400000,UTC+0900,2023-03-22 18:15:00,2023-03-22 18:30:00,42326,8,42326,0,8,0,0,9804,0,0,32522,0,0,5,0,0,3,0,900000,0,0,0,0,0.0,0.0,613030.0,0,900000
1679477400000,1679478300000,UTC+0900,2023-03-22 18:30:00,2023-03-22 18:45:00,387905,33,387905,0,33,0,13914,52987,0,252201,68803,0,3,10,0,3,17,0,301364,492270,0,106366,0,0.0,0.0,0.0,0,407730
1679478300000,1679479200000,UTC+0900,2023-03-22 18:45:00,2023-03-22 19:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15787,0,0,0,0.0,0.0,0.0,0,0
1679479200000,1679480100000,UTC+0900,2023-03-22 19:00:00,2023-03-22 19:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
1679480100000,1679481000000,UTC+0900,2023-03-22 19:15:00,2023-03-22 19:30:00,546448,45,476553,69895,34,11,18264,264584,0,216011,47589,0,7,10,0,15,13,0,791922,80083,0,0,0,0.0,0.0,0.0,0,791922
1679481000000,1679481900000,UTC+0900,2023-03-22 19:30:00,2023-03-22 19:45:00,850813,9,850813,0,9,0,0,33881,0,815172,1760,0,0,3,0,4,2,0,712991,187009,0,0,0,0.0,0.0,0.0,0,712991
1679481900000,1679482800000,UTC+0900,2023-03-22 19:45:00,2023-03-22 20:00:00,823569,53,678311,145258,41,12,151619,66797,0,576201,28952,0,15,23,0,4,11,0,722459,177541,0,0,0,0.0,0.0,0.0,0,722459
1679482800000,1679483700000,UTC+0900,2023-03-22 20:00:00,2023-03-22 20:15:00,228903,28,37243,191660,13,15,191660,28993,0,0,8250,0,15,10,0,0,3,0,900000,0,0,0,0,0.0,0.0,0.0,0,900000
1679483700000,1679484600000,UTC+0900,2023-03-22 20:15:00,2023-03-22 20:30:00,278358,40,237733,40625,36,4,7051,171763,0,43111,56433,0,1,22,0,5,12,0,698381,201619,0,0,0,0.0,0.0,375615.0,0,698381
1679484600000,1679485500000,UTC+0900,2023-03-22 20:30:00,2023-03-22 20:45:00,898031,5,894484,3547,4,1,0,2575,0,891700,3756,0,0,2,0,1,2,0,900000,0,0,0,0,0.0,0.0,609026.0,0,900000
1679485500000,1679486400000,UTC+0900,2023-03-22 20:45:00,2023-03-22 21:00:00,656400,5,616581,39819,3,2,0,0,0,616458,39942,0,0,0,0,2,3,0,900000,0,0,0,0,0.0,0.0,0.0,0,900000
