START,END,UTC,READABLE_START,READABLE_END,UT_ALL,LC_ALL,UT_SIG,UT_NONSIG,LC_SIG,LC_NONSIG,UT_WORK,UT_SOCIAL,UT_INFO,UT_ENTER,UT_SYSTEM,UT_HEALTH,LC_WORK,LC_SOCIAL,LC_INFO,LC_ENTER,LC_SYSTEM,LC_HEALTH,DUT_STILL,DUT_WALKING,DUT_RUNNING,DUT_IN_VEHICLE,DUT_ON_BICYCLE,DUT_HOME,DUT_WORK,DUT_OTHERS,DUT_MOVE,DUT_SEDENTARY
1557288000000,1557288900000,UTC+0900,2019-05-08 13:00:00,2019-05-08 13:15:00,170227,32,147609,22618,26,6,22618,9588,0,123231,12137,2653,6,7,0,1,10,8,900000,0,0,0,0,0.0,0.0,561891.0,0,900000
1557288900000,1557289800000,UTC+0900,2019-05-08 13:15:00,2019-05-08 13:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900000,0,0,0,0,0.0,0.0,900000.0,0,900000
1557289800000,1557290700000,UTC+0900,2019-05-08 13:30:00,2019-05-08 13:45:00,649793,28,649793,0,28,0,0,641451,0,0,5167,3175,0,20,0,0,4,4,900000,0,0,0,0,0.0,0.0,900000.0,0,900000
1557290700000,1557291600000,UTC+0900,2019-05-08 13:45:00,2019-05-08 14:00:00,788901,5,788901,0,5,0,0,787802,0,0,0,1099,0,2,0,0,0,3,900000,0,0,0,0,0.0,0.0,900000.0,0,900000
1557291600000,1557292500000,UTC+0900,2019-05-08 14:00:00,2019-05-08 14:15:00,448029,49,363873,84156,41,8,0,342977,82812,0,15111,7129,0,24,7,0,9,9,299797,600203,0,0,0,0.0,0.0,299000.0,0,299797
1557292500000,1557293400000,UTC+0900,2019-05-08 14:15:00,2019-05-08 14:30:00,673078,74,415499,257579,69,5,0,325092,257579,31663,57464,1280,0,40,5,1,25,3,696094,203906,0,0,0,0.0,0.0,257315.0,0,696094
1557293400000,1557294300000,UTC+0900,2019-05-08 14:30:00,2019-05-08 14:45:00,303626,73,289486,14140,69,4,14140,272521,0,0,12741,4224,4,43,0,0,15,11,900000,0,0,0,0,0.0,0.0,900000.0,0,900000
1557294300000,1557295200000,UTC+0900,2019-05-08 14:45:00,2019-05-08 15:00:00,14862,13,14862,0,13,0,0,9035,0,0,2787,3040,0,7,0,0,3,3,900000,0,0,0,0,0.0,0.0,900000.0,0,900000
1557295200000,1557296100000,UTC+0900,2019-05-08 15:00:00,2019-05-08 15:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900000,0,0,0,0,0.0,0.0,900000.0,0,900000
1557296100000,1557297000000,UTC+0900,2019-05-08 15:15:00,2019-05-08 15:30:00,50998,41,50998,0,41,0,0,41385,0,0,6053,3560,0,27,0,0,8,6,900000,0,0,0,0,0.0,0.0,900000.0,0,900000
1557297000000,1557297900000,UTC+0900,2019-05-08 15:30:00,2019-05-08 15:45:00,103889,35,40374,63515,34,1,0,27548,0,63515,11590,1236,0,22,0,1,9,3,900000,0,0,0,0,0.0,0.0,900000.0,0,900000
1557297900000,1557298800000,UTC+0900,2019-05-08 15:45:00,2019-05-08 16:00:00,20366,12,20366,0,12,0,0,15811,0,0,2782,1773,0,6,0,0,3,3,102454,797546,0,0,0,0.0,448656.0,83307.0,0,102454
1557298800000,1557299700000,UTC+0900,2019-05-08 16:00:00,2019-05-08 16:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900000,0,0,0,0.0,900000.0,0.0,0,0
1557299700000,1557300600000,UTC+0900,2019-05-08 16:15:00,2019-05-08 16:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900000,0,0,0,0.0,694605.0,0.0,0,0
1557300600000,1557301500000,UTC+0900,2019-05-08 16:30:00,2019-05-08 16:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900000,0,0,0,0.0,0.0,0.0,0,0
1557301500000,1557302400000,UTC+0900,2019-05-08 16:45:00,2019-05-08 17:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900000,0,0,0,0.0,0.0,0.0,0,0
1557302400000,1557303300000,UTC+0900,2019-05-08 17:00:00,2019-05-08 17:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900000,0,0,0,0.0,0.0,0.0,0,0
1557303300000,1557304200000,UTC+0900,2019-05-08 17:15:00,2019-05-08 17:30:00,14,2,2,12,1,1,0,0,0,0,12,2,0,0,0,0,1,1,0,900000,0,0,0,0.0,832550.0,0.0,0,0
1557304200000,1557305100000,UTC+0900,2019-05-08 17:30:00,2019-05-08 17:45:00,61652,24,61652,0,24,0,0,36755,0,0,8518,16379,0,12,0,0,6,6,0,900000,0,0,0,0.0,729142.0,0.0,0,0
1557305100000,1557306000000,UTC+0900,2019-05-08 17:45:00,2019-05-08 18:00:00,196004,70,196004,0,70,0,0,144209,0,8212,37782,5801,0,41,0,1,18,10,111031,788969,0,0,0,0.0,44015.0,0.0,0,111031
1557306000000,1557306900000,UTC+0900,2019-05-08 18:00:00,2019-05-08 18:15:00,317754,22,236134,81620,19,3,0,0,0,226549,16602,74603,0,0,0,3,12,7,900000,0,0,0,0,0.0,900000.0,0.0,0,900000
1557306900000,1557307800000,UTC+0900,2019-05-08 18:15:00,2019-05-08 18:30:00,47085,15,38873,8212,13,2,0,0,0,28849,9198,9038,0,0,0,2,6,7,403607,496393,0,0,0,0.0,900000.0,0.0,0,403607
1557307800000,1557308700000,UTC+0900,2019-05-08 18:30:00,2019-05-08 18:45:00,322671,52,286031,36640,51,1,0,139373,0,133052,45116,5130,0,23,0,3,17,9,779062,120938,0,0,0,0.0,261811.0,0.0,0,779062
1557308700000,1557309600000,UTC+0900,2019-05-08 18:45:00,2019-05-08 19:00:00,223886,36,223886,0,36,0,0,92863,0,111945,11330,7748,0,4,0,3,11,18,442968,27008,430024,0,0,0.0,0.0,0.0,0,442968
1557309600000,1557310500000,UTC+0900,2019-05-08 19:00:00,2019-05-08 19:15:00,632973,52,632973,0,52,0,0,87330,0,528132,12222,5289,0,29,0,5,11,7,433542,466458,0,0,0,0.0,0.0,0.0,0,433542
1557310500000,1557311400000,UTC+0900,2019-05-08 19:15:00,2019-05-08 19:30:00,690237,102,626633,63604,80,22,0,54828,0,462374,48800,124235,0,28,0,31,37,6,796101,103899,0,0,0,0.0,0.0,7394.0,0,796101
1557311400000,1557312300000,UTC+0900,2019-05-08 19:30:00,2019-05-08 19:45:00,580560,151,440289,140271,137,14,0,321845,0,19663,234565,4487,0,80,0,6,56,9,900000,0,0,0,0,0.0,0.0,900000.0,0,900000
1557312300000,1557313200000,UTC+0900,2019-05-08 19:45:00,2019-05-08 20:00:00,772272,37,772272,0,37,0,0,353521,0,382601,36150,0,0,20,0,4,13,0,900000,0,0,0,0,0.0,0.0,825000.0,0,900000
1557313200000,1557314100000,UTC+0900,2019-05-08 20:00:00,2019-05-08 20:15:00,897978,31,897978,0,31,0,0,24763,0,863918,9297,0,0,16,0,3,12,0,900000,0,0,0,0,807980.0,0.0,0.0,0,900000
1557314100000,1557315000000,UTC+0900,2019-05-08 20:15:00,2019-05-08 20:30:00,574183,53,574183,0,53,0,0,35328,0,513561,22418,2876,0,25,0,6,17,5,900000,0,0,0,0,900000.0,0.0,0.0,0,900000
1557315000000,1557315900000,UTC+0900,2019-05-08 20:30:00,2019-05-08 20:45:00,615992,66,585397,30595,63,3,0,146624,0,426562,38134,4672,0,46,0,4,9,7,900000,0,0,0,0,900000.0,0.0,0.0,0,900000
1557315900000,1557316800000,UTC+0900,2019-05-08 20:45:00,2019-05-08 21:00:00,288818,41,238031,50787,39,2,0,8300,0,227878,22596,30044,0,5,0,5,10,21,446320,453680,0,0,0,500000.0,0.0,0.0,0,446320
1557316800000,1557317700000,UTC+0900,2019-05-08 21:00:00,2019-05-08 21:15:00,351201,59,328568,22633,52,7,0,163924,0,146785,33855,6637,0,19,0,7,21,12,321781,578219,0,0,0,0.0,0.0,763495.0,0,321781
1557317700000,1557318600000,UTC+0900,2019-05-08 21:15:00,2019-05-08 21:30:00,190474,43,187663,2811,40,3,0,8232,0,97898,34091,50253,0,10,0,6,22,5,900000,0,0,0,0,0.0,0.0,900000.0,0,900000
1557318600000,1557319500000,UTC+0900,2019-05-08 21:30:00,2019-05-08 21:45:00,336400,33,242910,93490,20,13,25981,0,0,234260,71416,4743,6,0,0,6,12,9,900000,0,0,0,0,0.0,0.0,900000.0,0,900000
1557319500000,1557320400000,UTC+0900,2019-05-08 21:45:00,2019-05-08 22:00:00,453745,57,450555,3190,55,2,0,137296,0,287113,26626,2710,0,30,0,4,19,4,900000,0,0,0,0,0.0,0.0,900000.0,0,900000
1557320400000,1557321300000,UTC+0900,2019-05-08 22:00:00,2019-05-08 22:15:00,593551,35,589850,3701,33,2,0,103686,0,474111,13372,2382,0,19,0,4,9,3,900000,0,0,0,0,0.0,0.0,900000.0,0,900000
1557321300000,1557322200000,UTC+0900,2019-05-08 22:15:00,2019-05-08 22:30:00,800065,45,798710,1355,42,3,0,681377,0,102129,15185,1374,0,27,0,1,14,3,900000,0,0,0,0,0.0,0.0,900000.0,0,900000
1557322200000,1557323100000,UTC+0900,2019-05-08 22:30:00,2019-05-08 22:45:00,215597,33,192605,22992,27,6,0,4178,0,193195,14169,4055,0,5,0,9,11,8,874121,25879,0,0,0,0.0,0.0,900000.0,0,874121
1557323100000,1557324000000,UTC+0900,2019-05-08 22:45:00,2019-05-08 23:00:00,234315,21,231184,3131,17,4,0,5868,0,217138,8388,2921,0,5,0,5,5,6,900000,0,0,0,0,0.0,0.0,900000.0,0,900000
1557324000000,1557324900000,UTC+0900,2019-05-08 23:00:00,2019-05-08 23:15:00,173809,20,172768,1041,19,1,0,9934,0,149519,11715,2641,0,6,0,4,7,3,900000,0,0,0,0,0.0,0.0,825098.0,0,900000
1557324900000,1557325800000,UTC+0900,2019-05-08 23:15:00,2019-05-08 23:30:00,5969,3,5969,0,3,0,0,0,0,0,0,5969,0,0,0,0,0,3,168753,731247,0,0,0,0.0,0.0,0.0,0,168753
1557325800000,1557326700000,UTC+0900,2019-05-08 23:30:00,2019-05-08 23:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900000,0,0,0,0.0,0.0,0.0,0,0
1557326700000,1557327600000,UTC+0900,2019-05-08 23:45:00,2019-05-09 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338611,561389,0,0,0,0.0,0.0,0.0,0,338611
1557327600000,1557328500000,UTC+0900,2019-05-09 00:00:00,2019-05-09 00:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399087,500913,0,0,0,0.0,0.0,0.0,0,399087
1557328500000,1557329400000,UTC+0900,2019-05-09 00:15:00,2019-05-09 00:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900000,0,0,0,0.0,210017.0,0.0,0,0
1557329400000,1557330300000,UTC+0900,2019-05-09 00:30:00,2019-05-09 00:45:00,10,1,0,10,0,1,0,0,0,0,10,0,0,0,0,0,1,0,471181,428819,0,0,0,0.0,900000.0,0.0,0,471181
1557330300000,1557331200000,UTC+0900,2019-05-09 00:45:00,2019-05-09 01:00:00,8,2,8,0,2,0,0,0,0,0,0,8,0,0,0,0,0,2,900000,0,0,0,0,0.0,373605.0,0.0,0,900000
1557331200000,1557332100000,UTC+0900,2019-05-09 01:00:00,2019-05-09 01:15:00,834826,44,533297,301529,37,7,33618,230319,0,255422,313483,1984,4,18,0,4,17,1,313338,586662,0,0,0,491886.0,0.0,0.0,0,313338
1557332100000,1557333000000,UTC+0900,2019-05-09 01:15:00,2019-05-09 01:30:00,323201,63,302468,20733,60,3,0,141808,0,95112,83302,2979,0,24,0,1,32,6,506978,393022,0,0,0,829755.0,0.0,0.0,0,506978
1557333000000,1557333900000,UTC+0900,2019-05-09 01:30:00,2019-05-09 01:45:00,838836,38,838836,0,38,0,0,297490,0,437428,103918,0,0,24,0,2,12,0,900000,0,0,0,0,900000.0,0.0,0.0,0,900000
1557333900000,1557334800000,UTC+0900,2019-05-09 01:45:00,2019-05-09 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900000,0,0,0,0,72589.0,0.0,827411.0,0,900000
1557334800000,1557335700000,UTC+0900,2019-05-09 02:00:00,2019-05-09 02:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900000,0,0,0,0,0.0,0.0,900000.0,0,900000
1557335700000,1557336600000,UTC+0900,2019-05-09 02:15:00,2019-05-09 02:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900000,0,0,0,0,0.0,0.0,900000.0,0,900000
1557336600000,1557337500000,UTC+0900,2019-05-09 02:30:00,2019-05-09 02:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900000,0,0,0,0,0.0,0.0,900000.0,0,900000
1557337500000,1557338400000,UTC+0900,2019-05-09 02:45:00,2019-05-09 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900000,0,0,0,0,0.0,0.0,900000.0,0,900000
1557338400000,1557339300000,UTC+0900,2019-05-09 03:00:00,2019-05-09 03:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900000,0,0,0,0,0.0,0.0,900000.0,0,900000
1557339300000,1557340200000,UTC+0900,2019-05-09 03:15:00,2019-05-09 03:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900000,0,0,0,0,0.0,0.0,900000.0,0,900000
1557340200000,1557341100000,UTC+0900,2019-05-09 03:30:00,2019-05-09 03:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900000,0,0,0,0,0.0,0.0,900000.0,0,900000
1557341100000,1557342000000,UTC+0900,2019-05-09 03:45:00,2019-05-09 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900000,0,0,0,0,0.0,0.0,900000.0,0,900000
1557342000000,1557342900000,UTC+0900,2019-05-09 04:00:00,2019-05-09 04:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900000,0,0,0,0,0.0,0.0,900000.0,0,900000
1557350100000,1557351000000,UTC+0900,2019-05-09 06:15:00,2019-05-09 06:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900000,0,0,0,0,900000.0,0.0,0.0,0,900000
1557351000000,1557351900000,UTC+0900,2019-05-09 06:30:00,2019-05-09 06:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900000,0,0,0,0,900000.0,0.0,0.0,0,900000
1557351900000,1557352800000,UTC+0900,2019-05-09 06:45:00,2019-05-09 07:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900000,0,0,0,0,900000.0,0.0,0.0,0,900000
1557352800000,1557353700000,UTC+0900,2019-05-09 07:00:00,2019-05-09 07:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900000,0,0,0,0,900000.0,0.0,0.0,0,900000
1557353700000,1557354600000,UTC+0900,2019-05-09 07:15:00,2019-05-09 07:30:00,8,1,8,0,1,0,0,0,0,0,0,8,0,0,0,0,0,1,900000,0,0,0,0,900000.0,0.0,0.0,0,900000
1557354600000,1557355500000,UTC+0900,2019-05-09 07:30:00,2019-05-09 07:45:00,120496,19,120496,0,19,0,0,14796,0,2941,95743,7016,0,6,0,1,6,6,900000,0,0,0,0,900000.0,0.0,0.0,0,900000
1557355500000,1557356400000,UTC+0900,2019-05-09 07:45:00,2019-05-09 08:00:00,106026,11,106026,0,11,0,0,0,0,0,99947,6079,0,0,0,0,5,6,900000,0,0,0,0,900000.0,0.0,0.0,0,900000
1557356400000,1557357300000,UTC+0900,2019-05-09 08:00:00,2019-05-09 08:15:00,456952,13,456952,0,13,0,0,0,0,0,324465,132487,0,0,0,0,5,8,900000,0,0,0,0,900000.0,0.0,0.0,0,900000
1557357300000,1557358200000,UTC+0900,2019-05-09 08:15:00,2019-05-09 08:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900000,0,0,0,0,900000.0,0.0,0.0,0,900000
1557358200000,1557359100000,UTC+0900,2019-05-09 08:30:00,2019-05-09 08:45:00,47293,17,47293,0,17,0,0,0,0,0,44862,2431,0,0,0,0,14,3,900000,0,0,0,0,900000.0,0.0,0.0,0,900000
1557359100000,1557360000000,UTC+0900,2019-05-09 08:45:00,2019-05-09 09:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900000,0,0,0,0,900000.0,0.0,0.0,0,900000
