PACKAGE,NAME,OFFICIAL_CATEGORY,SRC,CUSTOM_CATEGORY
Com.sktelecom.minit,T world,LIFESTYLE,play.google.com,INFO
Kal.FlightInfo,(Discontinued) Korean Air,TRAVEL_AND_LOCAL,apkpure.com,INFO
android,안드로이드 시스템,TOOLS,handlabeled,SYSTEM
app.hybirds.skypeople,스카이피플 (스피) : 직장 인증을 통한 안전한 소개팅,DATING,play.google.com,SOCIAL
app.intra,Intra,TOOLS,play.google.com,SYSTEM
app.zenly.locator,zenly - your world,SOCIAL,play.google.com,SOCIAL
biz.nion.facematchtest,NION Face Match (face recognition),ENTERTAINMENT,play.google.com,ENTER
bubble.shoot.bubbles.game.saga.world,Bubble Shooter,GAME_CASUAL,play.google.com,ENTER
cc.forestapp,Forest -Focus for Productivity,PRODUCTIVITY,play.google.com,WORK
cheehoon.ha.particulateforecaster,"미세미세 - 미세먼지, 날씨, WHO기준, 알람, 위젯, 지도",WEATHER,play.google.com,INFO
cn.jingling.motu.photowonder,PhotoWonder: Pro Beauty Photo Editor&Collage Maker,PHOTOGRAPHY,apkpure.com,ENTER
co.kr.daisomall,다이소몰 - 다이소 온라인쇼핑몰,SHOPPING,play.google.com,INFO
com.HitP2P.CashLeaflet,"FNB 캐시리플렛 - 블록체인 리워드앱 ! 포인트,코인,용돈,알바,광고,적립",ENTERTAINMENT,play.google.com,ENTER
com.Monthly23.SwipeBrickBreaker,Swipe Brick Breaker,GAME_ARCADE,play.google.com,ENTER
com.Mouse_Duck.DoveGame,Pigeon Raising,GAME_CASUAL,play.google.com,ENTER
com.Slack,Slack,BUSINESS,play.google.com,WORK
com.SunHan,파일노리,VIDEO_PLAYERS_AND_EDITORS,handlabeled,ENTER
com.TouchEn.mVaccine.webs,터치엔 엠백신 for Web(기업용),FINANCE,play.google.com,WORK
com.aboutjsp.memowidget,Memo Widget (to-dos&ideas),LIFESTYLE,play.google.com,INFO
com.aboutjsp.thedaybefore,TheDayBefore (days countdown),LIFESTYLE,play.google.com,INFO
com.actionersl.onlharu,DoIt Today(DoIT)  Lite  - Circular Schedule Table,PRODUCTIVITY,play.google.com,WORK
com.adguard.android,AdGuard,TOOLS,apkcombo.com,SYSTEM
com.adobe.reader,Adobe Acrobat Reader: Edit PDF,PRODUCTIVITY,play.google.com,WORK
com.ahnlab.v3mobileplus,V3 Mobile Plus,TOOLS,play.google.com,SYSTEM
com.ahnlab.v3mobilesecurity.soda,V3 Mobile Security-AntiMalware,TOOLS,play.google.com,SYSTEM
com.aia.vitality.kr,AIA Vitality x T건강습관,HEALTH_AND_FITNESS,play.google.com,HEALTH
com.airbnb.android,Airbnb,TRAVEL_AND_LOCAL,play.google.com,INFO
com.airfightwar.thunderbattle,Call of Thunder War- Air Shooting Game,GAME_ACTION,apkcombo.com,ENTER
com.airvisual,IQAir AirVisual | Air Quality,WEATHER,play.google.com,INFO
com.albamon.app,알바몬 - 알바 채용 전문 플랫폼,BUSINESS,play.google.com,WORK
com.alensw.PicFolder,QuickPic - Photo Gallery with Google Drive Support,PHOTOGRAPHY,apkcombo.com,ENTER
com.alibaba.aliexpresshd,AliExpress,SHOPPING,play.google.com,INFO
com.amazon.avod.thirdpartyclient,Amazon Prime Video,ENTERTAINMENT,play.google.com,ENTER
com.amazon.kindle,Amazon Kindle,BOOKS_AND_REFERENCE,play.google.com,INFO
com.amazon.mShop.android.shopping,Amazon Shopping,SHOPPING,play.google.com,INFO
com.android.bluetooth,Bluetooth Share,TOOLS,apkcombo.com,SYSTEM
com.android.calculator2,HTC Calculator,TOOLS,apkcombo.com,SYSTEM
com.android.calendar,Mi Calendar,TOOLS,apkcombo.com,SYSTEM
com.android.camera,Redmi Camera,TOOLS,apkcombo.com,SYSTEM
com.android.captiveportallogin,CaptivePortalLogin,TOOLS,apkcombo.com,SYSTEM
com.android.chrome,Google Chrome: Fast & Secure,COMMUNICATION,play.google.com,SOCIAL
com.android.contacts,Xiaomi Contacts and dialer,TOOLS,apkcombo.com,SYSTEM
com.android.deskclock,HUAWEI Clock,TOOLS,apkcombo.com,SYSTEM
com.android.documentsui,Files,TOOLS,apkcombo.com,SYSTEM
com.android.gallery3d,LG Gallery,TOOLS,apkcombo.com,SYSTEM
com.android.htmlviewer,HTML Viewer,TOOLS,apkcombo.com,SYSTEM
com.android.incallui,HTC Phone,TOOLS,apkcombo.com,SYSTEM
com.android.mms,MIUI Messaging,TOOLS,apkcombo.com,SYSTEM
com.android.nfc,Nfc Service,TOOLS,apkcombo.com,SYSTEM
com.android.packageinstaller,Package installer,TOOLS,apkcombo.com,SYSTEM
com.android.phone,Phone Services,TOOLS,apkcombo.com,SYSTEM
com.android.printspooler,Print Spooler,TOOLS,apkcombo.com,SYSTEM
com.android.providers.media,Media Storage,TOOLS,apkcombo.com,SYSTEM
com.android.server.telecom,Phone Call Management,TOOLS,apkcombo.com,SYSTEM
com.android.settings,Settings,TOOLS,apkcombo.com,SYSTEM
com.android.settings.intelligence,Settings Suggestions,TOOLS,apkcombo.com,SYSTEM
com.android.settingsaccessibility,Accessibility,TOOLS,apkcombo.com,SYSTEM
com.android.systemui,System UI,TOOLS,apkcombo.com,SYSTEM
com.android.vending,Google Play Store,TOOLS,apkcombo.com,SYSTEM
com.android.vpndialogs,VpnDialogs,TOOLS,apkcombo.com,SYSTEM
com.apple.android.music,Apple Music,MUSIC_AND_AUDIO,play.google.com,ENTER
com.astroframe.seoulbus,KakaoBus,MAPS_AND_NAVIGATION,play.google.com,INFO
com.atlas.moyamo,"모야모 (식물 식별, 병충해 진단)",EDUCATION,play.google.com,WORK
com.atsolution.android.uotp2,U-OTP+,TOOLS,play.google.com,SYSTEM
com.avast.android.mobilesecurity,Avast Antivirus & Security,TOOLS,play.google.com,SYSTEM
com.awesapp.isafe,iSafe,TOOLS,play.google.com,SYSTEM
com.bamnetworks.mobile.android.gameday.atbat,MLB,SPORTS,play.google.com,ENTER
com.bandainamcoent.imas_millionlive_theaterdays,アイドルマスター ミリオンライブ！ シアターデイズ,GAME_MUSIC,play.google.com,ENTER
com.banhala.android,에이블리 - 3천만의 AI 쇼핑메이트,SHOPPING,play.google.com,INFO
com.bdsdiet_app,"부동산다이어트 - 아파트 실거래가, 시세, 부동산 정보",HOUSE_AND_HOME,apkpure.com,INFO
com.bleacherreport.android.teamstream,Bleacher Report: Sports News,SPORTS,play.google.com,ENTER
com.blizzard.wtcg.hearthstone,Hearthstone,GAME_CARD,play.google.com,ENTER
com.bloomberg.android.plus,Bloomberg: Finance Market News,NEWS_AND_MAGAZINES,play.google.com,INFO
com.blust.fivearrows,Last Arrows,GAME_ACTION,play.google.com,ENTER
com.booking,Booking.com: Hotels and more,TRAVEL_AND_LOCAL,play.google.com,INFO
com.brandicorp.brandi3,브랜디 - 여성 패션 쇼핑앱,SHOPPING,play.google.com,INFO
com.briniclemobile.wibeetalk,WiBee Talk,COMMUNICATION,apkpure.com,SOCIAL
com.bulb.alchemy,Alchemy-나만의 실험실,GAME_EDUCATIONAL,play.google.com,ENTER
com.buzzpia.aqua.launcher,Buzz Launcher-Smart&Free Theme,PERSONALIZATION,apkcombo.com,SYSTEM
com.byapps.maybebaby,메이비베이비 MAYBE BABY,SHOPPING,play.google.com,INFO
